id;title;name;display_name;job_title;image_50x50;image_100x100;initials;url;user_id

1;Jose Portilla;Jose;Jose Portilla;Head of Data Science at Pierian Training;https://img-b.udemycdn.com/user/50x50/9685726_67e7_4.jpg;https://img-b.udemycdn.com/user/100x100/9685726_67e7_4.jpg;JP;https://www.udemy.com/user/joseportilla/;1

2;Kyle Pew;Kyle;Kyle Pew;Microsoft Certified Trainer - 1 Million+ Students;https://img-b.udemycdn.com/user/50x50/16649710_ee35_3.jpg;https://img-b.udemycdn.com/user/100x100/16649710_ee35_3.jpg;KP;https://www.udemy.com/user/kyle-pew/;1

3;Office Newb;Office;Office Newb;Software Trainer;https://img-b.udemycdn.com/user/50x50/anonymous_3.png;https://img-b.udemycdn.com/user/100x100/anonymous_3.png;ON;https://www.udemy.com/user/llc-office-newb/;1

4;Dr. Angela Yu;Dr. Angela;Dr. Angela Yu;Developer and Lead Instructor;https://img-b.udemycdn.com/user/50x50/31334738_a13c_3.jpg;https://img-b.udemycdn.com/user/100x100/31334738_a13c_3.jpg;DY;https://www.udemy.com/user/4b4368a3-b5c8-4529-aa65-2056ec31f37e/;1

11;Colt Steele;Colt;Colt Steele;Developer and Bootcamp Instructor;https://img-b.udemycdn.com/user/50x50/4466306_6fd8_3.jpg;https://img-b.udemycdn.com/user/100x100/4466306_6fd8_3.jpg;CS;https://www.udemy.com/user/coltsteele/;1

13;Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer;Stephane Maarek;Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer;Best Selling Instructor, 10x AWS Certified, Kafka Guru;https://img-c.udemycdn.com/user/50x50/16122994_284f_18.jpg;https://img-c.udemycdn.com/user/100x100/16122994_284f_18.jpg;S|;https://www.udemy.com/user/stephane-maarek/;1

14;Academind by Maximilian Schwarzmüller;Academind by Maximilian;Academind by Maximilian Schwarzmüller;Online Education;https://img-c.udemycdn.com/user/50x50/31926668_94e7_6.jpg;https://img-c.udemycdn.com/user/100x100/31926668_94e7_6.jpg;AS;https://www.udemy.com/user/academind/;1

15;Maximilian Schwarzmüller;Maximilian;Maximilian Schwarzmüller;AWS certified, Professional Web Developer and Instructor;https://img-c.udemycdn.com/user/50x50/13952972_e853.jpg;https://img-c.udemycdn.com/user/100x100/13952972_e853.jpg;MS;https://www.udemy.com/user/maximilian-schwarzmuller/;1

17;Jose Portilla;Jose;Jose Portilla;Head of Data Science at Pierian Training;https://img-c.udemycdn.com/user/50x50/9685726_67e7_4.jpg;https://img-c.udemycdn.com/user/100x100/9685726_67e7_4.jpg;JP;https://www.udemy.com/user/joseportilla/;1

18;Kirill Eremenko;Kirill;Kirill Eremenko;Data Scientist;https://img-c.udemycdn.com/user/50x50/2364054_83cd_5.jpg;https://img-c.udemycdn.com/user/100x100/2364054_83cd_5.jpg;KE;https://www.udemy.com/user/kirilleremenko/;1

19;Hadelin de Ponteves;Hadelin;Hadelin de Ponteves;Serial Tech Entrepreneur;https://img-c.udemycdn.com/user/50x50/22113450_6fb5_3.jpg;https://img-c.udemycdn.com/user/100x100/22113450_6fb5_3.jpg;HD;https://www.udemy.com/user/hadelin-de-ponteves/;1

20;SuperDataScience Team;SuperDataScience;SuperDataScience Team;Helping Data Scientists Succeed;https://img-c.udemycdn.com/user/50x50/27129696_acc1_4.jpg;https://img-c.udemycdn.com/user/100x100/27129696_acc1_4.jpg;ST;https://www.udemy.com/user/superdatascience-team/;1

